IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.36.162.145,2052,80,false,CDG,Europe,Paris,172,0.00
79.125.15.17,2052,80,false,DUB,Europe,Dublin,172,0.00
18.157.106.177,2087,80,false,FRA,Europe,Frankfurt,173,0.00
13.36.24.111,2096,80,false,CDG,Europe,Paris,173,0.00
13.37.165.175,2053,80,false,CDG,Europe,Paris,174,0.00
13.36.253.240,2082,80,false,CDG,Europe,Paris,178,0.00
18.157.78.22,2083,80,false,FRA,Europe,Frankfurt,178,0.00
18.157.78.22,2052,80,false,FRA,Europe,Frankfurt,179,0.00
13.36.24.111,2086,80,false,CDG,Europe,Paris,182,0.00
13.36.24.111,2087,80,false,CDG,Europe,Paris,182,0.00
13.36.24.111,2083,80,false,CDG,Europe,Paris,182,0.00
13.36.162.145,2096,80,false,CDG,Europe,Paris,182,0.00
13.36.162.145,2087,80,false,CDG,Europe,Paris,184,0.00
15.188.168.174,2096,80,false,CDG,Europe,Paris,184,0.00
13.36.253.240,2083,80,false,CDG,Europe,Paris,185,0.00
13.53.47.110,2083,80,false,ARN,Europe,Stockholm,185,0.00
79.125.15.17,2053,80,false,DUB,Europe,Dublin,185,0.00
13.51.138.200,2086,80,false,ARN,Europe,Stockholm,185,0.00
13.51.138.200,2082,80,false,ARN,Europe,Stockholm,185,0.00
13.51.138.200,2083,80,false,ARN,Europe,Stockholm,185,0.00
13.49.6.192,2087,80,false,ARN,Europe,Stockholm,185,0.00
13.48.140.41,2052,80,false,ARN,Europe,Stockholm,185,0.00
13.49.119.167,2086,80,false,ARN,Europe,Stockholm,185,0.00
13.49.119.167,2096,80,false,ARN,Europe,Stockholm,185,0.00
13.49.119.167,2087,80,false,ARN,Europe,Stockholm,186,0.00
13.49.119.167,2095,80,false,ARN,Europe,Stockholm,186,0.00
13.48.140.41,2053,80,false,ARN,Europe,Stockholm,186,0.00
13.48.140.41,2095,80,false,ARN,Europe,Stockholm,186,0.00
13.49.119.167,2053,80,false,ARN,Europe,Stockholm,186,0.00
13.48.140.41,2087,80,false,ARN,Europe,Stockholm,186,0.00
13.48.36.215,2095,80,false,ARN,Europe,Stockholm,186,0.00
13.53.47.110,2095,80,false,ARN,Europe,Stockholm,186,0.00
13.48.36.215,2087,80,false,ARN,Europe,Stockholm,186,0.00
13.48.36.215,2052,80,false,ARN,Europe,Stockholm,186,0.00
13.48.36.215,2082,80,false,ARN,Europe,Stockholm,187,0.00
13.53.47.110,2082,80,false,ARN,Europe,Stockholm,187,0.00
13.53.47.110,2052,80,false,ARN,Europe,Stockholm,187,0.00
13.53.47.110,2096,80,false,ARN,Europe,Stockholm,188,0.00
13.53.47.110,2086,80,false,ARN,Europe,Stockholm,188,0.00
13.49.6.192,2096,80,false,ARN,Europe,Stockholm,188,0.00
13.49.119.167,2083,80,false,ARN,Europe,Stockholm,191,0.00
18.157.78.22,2086,80,false,FRA,Europe,Frankfurt,193,0.00
13.51.138.200,2096,80,false,ARN,Europe,Stockholm,195,0.00
13.51.138.200,2095,80,false,ARN,Europe,Stockholm,195,0.00
13.48.36.215,2083,80,false,ARN,Europe,Stockholm,195,0.00
13.51.138.200,2053,80,false,ARN,Europe,Stockholm,195,0.00
13.49.119.167,2052,80,false,ARN,Europe,Stockholm,196,0.00
13.48.140.41,2082,80,false,ARN,Europe,Stockholm,196,0.00
13.53.47.110,2087,80,false,ARN,Europe,Stockholm,198,0.00
13.48.140.41,2083,80,false,ARN,Europe,Stockholm,199,0.00
13.49.6.192,2053,80,false,ARN,Europe,Stockholm,200,0.00
13.48.36.215,2096,80,false,ARN,Europe,Stockholm,201,0.00
13.49.6.192,2082,80,false,ARN,Europe,Stockholm,204,0.00
13.48.36.215,2053,80,false,ARN,Europe,Stockholm,207,0.00
13.49.119.167,2082,80,false,ARN,Europe,Stockholm,210,0.00
13.48.140.41,2096,80,false,ARN,Europe,Stockholm,210,0.00
13.49.6.192,2095,80,false,ARN,Europe,Stockholm,213,0.00
13.48.36.215,2086,80,false,ARN,Europe,Stockholm,213,0.00
13.53.47.110,2053,80,false,ARN,Europe,Stockholm,213,0.00
54.68.88.54,80,8080,false,SEA,North America,Seattle,215,0.00
15.222.240.56,443,443,false,YYZ,North America,Toronto,272,0.00
54.233.145.43,80,80,false,GIG,South America,Rio de Janeiro,340,0.00
